,ip4_prefix,ip_address,owner,latitude,longitude
277,76.76.19.0,76.76.19.19,Amazon.com Inc.,22.308889,113.914722
278,76.76.19.0,76.76.19.19,Amazon.com Inc.,40.7883987427,-111.9779968262
279,76.76.19.0,76.76.19.19,Amazon.com Inc.,48.3538017273,11.7861003876
280,76.76.19.0,76.76.19.19,Amazon.com Inc.,47.4812134,19.1303031
281,76.76.19.0,76.76.19.19,Amazon.com Inc.,60.193901062,11.100399971
282,76.76.19.0,76.76.19.19,Amazon.com Inc.,-23.6261100769,-46.6563873291
283,76.76.19.0,76.76.19.19,Amazon.com Inc.,41.2971000671,2.0784599781
284,76.76.19.0,76.76.19.19,Amazon.com Inc.,40.63980103,-73.77890015
285,76.76.19.0,76.76.19.19,Amazon.com Inc.,34.4272994995,135.2440032959
286,76.76.19.0,76.76.19.19,Amazon.com Inc.,-31.9402999878,115.9670028687
287,76.76.19.0,76.76.19.19,Amazon.com Inc.,38.2924003601,27.156999588
288,76.76.19.0,76.76.19.19,Amazon.com Inc.,-34.5592,-58.4156
289,76.76.19.0,76.76.19.19,Amazon.com Inc.,-26.2425003052,28.1511993408
290,76.76.19.0,76.76.19.19,Amazon.com Inc.,55.4087982178,37.9062995911
291,76.76.19.0,76.76.19.19,Amazon.com Inc.,59.8003005981,30.2625007629
292,76.76.19.0,76.76.19.19,Amazon.com Inc.,23.843347,90.397783
293,76.76.19.0,76.76.19.19,Amazon.com Inc.,1.3501900434,103.9940032959
294,76.76.19.0,76.76.19.19,Amazon.com Inc.,29.9843997955,-95.3414001465
295,76.76.19.0,76.76.19.19,Amazon.com Inc.,39.717300415,-86.2944030762
296,76.76.19.0,76.76.19.19,Amazon.com Inc.,-41.3272018433,174.804992676
297,76.76.19.0,76.76.19.19,Amazon.com Inc.,19.4363002777,-99.0720977783
298,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,47.5299987793,-122.3020019531
299,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,25.7931995392,-80.2906036377
300,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,-33.9648017883,18.6016998291
301,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,49.0127983093,2.5499999523
302,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,-22.8099994659,-43.2505569458
303,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,51.5286416,-0.1015987
304,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,-34.2291984558,142.085998535
305,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,55.6179008484,12.6560001373
306,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,50.8658981323,7.1427397728
307,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,22.308889,113.914722
308,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,1.3604199886,103.9100036621
309,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,19.0886993408,72.8678970337
310,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,40.63980103,-73.77890015
311,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,40.4967002869,-3.4458699226
312,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,41.799444,12.597222
313,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,35.5522994995,139.7799987793
314,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,-26.2425003052,28.1511993408
315,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,41.7859992981,-87.7524032593
316,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,55.8782997131,38.0616989136
317,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,47.4812134,19.1303031
318,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,33.94250107,-118.4079971
319,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,24.7098007202,46.7252006531
320,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,19.4363002777,-99.0720977783
321,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,29.9843997955,-95.3414001465
322,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,31.636100769,-106.4290008545
323,208.67.222.0,208.67.222.222,Cisco OpenDNS LLC,-33.9244003296,150.9880065918
324,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,47.5299987793,-122.3020019531
325,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,25.7931995392,-80.2906036377
326,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,-33.9648017883,18.6016998291
327,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,49.0127983093,2.5499999523
328,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,-22.8099994659,-43.2505569458
329,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,51.5286416,-0.1015987
330,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,-34.2291984558,142.085998535
331,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,50.8658981323,7.1427397728
332,208.67.220.0,208.67.220.220,Cisco OpenDNS LLC,1.3604199886,103.9100036621
